execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,sensors used,scaler,umap components,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
001963,4.082351446151733,5.00709867477417,22.91727113723755,0.024505615234375,all,randomforest-100,umap-6-all,no_transform.0,5,"kuhar.train, kuhar.validation","kuhar.train, kuhar.validation",kuhar.test,"gyro-x, gyro-y, gyro-z",std_scaler,6,0.6055555555555555,0.013465777381712018,0.6078448589411937,0.016364965410236867,0.6055555555555555,0.013465777381712018,0.6078448589411937,0.016364965410236913
004898,12.397446155548096,4.045461654663086,151.01790380477905,0.054653167724609375,all,randomforest-100,umap-20-all,no_transform.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",minmax_scaler,20,0.6086629001883239,0.005143691255648815,0.6024467058435647,0.004348455791970835,0.6086629001883239,0.005143691255648815,0.6024467058435649,0.004348455791970834
000324,0.5112302303314209,5.536672353744507,29.077791452407837,1.0146703720092773,all,svm,umap-2-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",no_scaler,2,0.7291666666666666,0.0,0.7191540700659242,0.0,0.7291666666666665,0.0,0.7191540700659242,0.0
000555,5.308040142059326,3.5999910831451416,40.79975485801697,0.02921438217163086,all,randomforest-100,umap-3-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",no_scaler,3,0.4936231884057971,0.008578926717071738,0.4831508069698101,0.009993724385918203,0.4936231884057971,0.008578926717071738,0.48315080696981,0.009993724385918184
001606,3.675175189971924,5.3059000968933105,100.40362620353699,0.051882266998291016,all,svm,umap-5-all,no_transform.0,5,"motionsense.train, motionsense.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",std_scaler,5,0.5420289855072464,0.0,0.5365301590185332,0.0,0.5420289855072464,0.0,0.5365301590185332,0.0
003733,0.8790147304534912,4.0546979904174805,79.58550190925598,1.0150809288024902,all,svm,umap-9-all,with_fft_all.0,5,"uci.train, uci.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,9,0.4791666666666667,0.0,0.4076952292469122,0.0,0.4791666666666667,0.0,0.4076952292469123,5.551115123125783e-17
003950,6.9244256019592285,4.203535079956055,71.08102345466614,0.08225464820861816,all,randomforest-100,umap-10-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,10,0.5930434782608696,0.0062436693416052,0.5860267635405433,0.007348212812753403,0.5930434782608696,0.0062436693416052,0.5860267635405434,0.007348212812753383
003638,0.46203017234802246,4.046958684921265,116.38029909133911,0.024286985397338867,all,knn-5,umap-9-all,no_transform.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"gyro-x, gyro-y, gyro-z",minmax_scaler,9,0.636231884057971,0.0,0.6291198555617479,0.0,0.636231884057971,0.0,0.629119855561748,0.0
004054,0.1536545753479004,4.399552583694458,91.54884219169617,0.06409263610839844,all,knn-5,umap-10-all,no_transform.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,10,0.5347222222222222,0.0,0.5335730198512153,0.0,0.5347222222222222,0.0,0.5335730198512154,0.0
003925,12.646526575088501,4.090571165084839,146.81888127326965,0.04815673828125,all,randomforest-100,umap-10-all,no_transform.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",std_scaler,10,0.619774011299435,0.006114004926835373,0.6149665273596877,0.006320449572151801,0.619774011299435,0.006114004926835373,0.6149665273596877,0.006320449572151792
